name_owner,pr_id,title,state,review_time,num_reviews,num_caracteres,num_arquivos,num_additions,num_deletions,num_participants,num_comments
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTA5ODg2MzUw,Fix typo in Study Guide section,MERGED,13h45m,1,85,1,2,2,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTA5OTIzMDg2,Fix typo - lobsided -> lopsided,MERGED,10h16m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEwMDU5NTM1,Add Dyn DDoS attack link,MERGED,21h36m,1,11,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEwMDc3NzI0,Fix multiple typos,MERGED,18h12m,1,0,1,8,8,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEwMjY1MjYz,Fix typo in RPC section,MERGED,0h12m,1,74,1,1,1,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExMTgxNzI2,Fix #6: Migrate links from exercises/solutions to use internal links,MERGED,68h33m,1,231,8,35,35,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExMzk2MjQy,"Delete duplicate word ""does"" in design exercises",MERGED,11h19m,1,0,3,3,3,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExNDE2NTE1,Fix typo JSS -> JS,MERGED,26h38m,1,42,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTExNDcyNTU4,Declare variable key in the get_user example,MERGED,36h45m,1,265,1,1,0,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyMDU3MDkx,Fix typo,MERGED,10h08m,2,0,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyMzUyMzc0,Fix typos,MERGED,4h11m,1,0,1,2,2,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNDM3NTE5,change the service discovery documenation example to use consul/etcd,CLOSED,53h29m,2,90,1,4,1,3,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNjA2Mjc5,Explain difference between PUT & PATCH,MERGED,83h29m,1,268,1,2,0,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTEyNjM0ODE3,"Update service discovery section to include consul, etcd, and additional details",MERGED,42h47m,3,0,1,1,1,5,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE0MDk0MzQ5,Change AP wording for clarity,MERGED,1h29m,1,296,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE0OTE5NzMw,Change Pull CDN wording for clarity,MERGED,0h36m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE2MDE3NzQz,zh-cn: Add Simplified Chinese translation v1.0,MERGED,5h48m,1,129,1,1797,0,2,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE2MDQ3MDA2,zh-cn: Rename README-zh-Hant.md to README-zh-Hans.md,MERGED,18h32m,1,97,1,0,0,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE3MDg2NjQy,Fix asynchronism link in mint README,MERGED,580h03m,2,0,1,1,1,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE4NjI4MjYz,Fix lowercase typo in Layer 7 load balancing title,MERGED,320h48m,1,74,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTE5NjYwMzA0,Fix typo,MERGED,419h01m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIxMjI5NTAy,Add license disclaimer,CLOSED,207h52m,1,162,2,10,0,2,0
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIyMzU2OTcy,Fix #79: Inaccuracy in Twitter timeline and search example,MERGED,46h44m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTIyOTIzNjEy,Init spot_size member in parking lot exercise,MERGED,8h07m,1,36,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI0MjE3NjEz,Fix reducer argument in pastebin exercise,MERGED,177h23m,1,344,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI5NjE1Nzcy,Add Grab Engineering Blog link,CLOSED,186h47m,1,244,2,2,0,2,3
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTI5ODE2NTgx,Add automated testing,CLOSED,11393h57m,2,375,1,11,0,4,12
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTMwODYzODg1,Fix typo in denormalization section,MERGED,12h04m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTMwOTkwMTA2,Mention policy for adding new blogs to Company engineering blogs section,MERGED,0h03m,1,26,1,2,0,3,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTM1NzQ3Mjcw,Convert all .py files to be valid Python,MERGED,4889h18m,3,253,7,78,39,2,8
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQzODEzODU2,Add API rate limiter design link,MERGED,234h42m,1,0,1,1,0,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ0MTAyODE0,Fix typo: considering -> consider in scaling AWS solution,MERGED,133h23m,1,98,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ3OTYwMDQ5,Simplify logic for is_ace and is_face_card in deck of cards solution,MERGED,77h09m,1,0,1,2,2,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTQ5MDk5NzI5,Add Japanese Translation,MERGED,860h35m,6,47,1,1787,0,5,9
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTUzNTI3MTAy,Correct Redis list structure in Twitter solution,MERGED,240h00m,1,281,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTU2NzUyNDYx,ja: Fix typo ,MERGED,34h15m,1,857,1,1,1,3,4
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYwNzE1MTQ1,add Netflix in Company Architecture,CLOSED,460h50m,1,0,1,4,3,2,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MTYxNDc5Mjgx,Add Netflix in Company Architectures,MERGED,363h55m,2,0,1,1,0,3,1
