Número,Nome,Estrelas,url,PRs Aprovados ou Fechados
1,freeCodeCamp/freeCodeCamp,364309,https://github.com/freeCodeCamp/freeCodeCamp,32570
2,EbookFoundation/free-programming-books,275644,https://github.com/EbookFoundation/free-programming-books,8266
3,996icu/996.ICU,265528,https://github.com/996icu/996.ICU,1929
4,jwasham/coding-interview-university,254355,https://github.com/jwasham/coding-interview-university,871
5,sindresorhus/awesome,248742,https://github.com/sindresorhus/awesome,1848
6,kamranahmedse/developer-roadmap,236542,https://github.com/kamranahmedse/developer-roadmap,2224
7,public-apis/public-apis,235676,https://github.com/public-apis/public-apis,2810
8,donnemartin/system-design-primer,217366,https://github.com/donnemartin/system-design-primer,282
9,facebook/react,205639,https://github.com/facebook/react,13150
10,vuejs/vue,203128,https://github.com/vuejs/vue,2134
11,codecrafters-io/build-your-own-x,197282,https://github.com/codecrafters-io/build-your-own-x,197
12,tensorflow/tensorflow,173234,https://github.com/tensorflow/tensorflow,22608
13,trekhleb/javascript-algorithms,168269,https://github.com/trekhleb/javascript-algorithms,469
14,getify/You-Dont-Know-JS,166653,https://github.com/getify/You-Dont-Know-JS,824
15,vinta/awesome-python,163365,https://github.com/vinta/awesome-python,1455
16,CyC2018/CS-Notes,163287,https://github.com/CyC2018/CS-Notes,540
17,twbs/bootstrap,162840,https://github.com/twbs/bootstrap,14413
18,ohmyzsh/ohmyzsh,157549,https://github.com/ohmyzsh/ohmyzsh,6397
19,TheAlgorithms/Python,157088,https://github.com/TheAlgorithms/Python,6789
20,flutter/flutter,152112,https://github.com/flutter/flutter,42878
21,torvalds/linux,149474,https://github.com/torvalds/linux,451
22,github/gitignore,146741,https://github.com/github/gitignore,3800
23,microsoft/vscode,144850,https://github.com/microsoft/vscode,20030
24,ossu/computer-science,137659,https://github.com/ossu/computer-science,395
25,jlevy/the-art-of-command-line,134930,https://github.com/jlevy/the-art-of-command-line,452
26,jackfrued/Python-100-Days,133420,https://github.com/jackfrued/Python-100-Days,132
27,airbnb/javascript,133088,https://github.com/airbnb/javascript,1357
28,Snailclimb/JavaGuide,132769,https://github.com/Snailclimb/JavaGuide,1042
29,awesome-selfhosted/awesome-selfhosted,127214,https://github.com/awesome-selfhosted/awesome-selfhosted,2698
30,ytdl-org/youtube-dl,119422,https://github.com/ytdl-org/youtube-dl,3929
31,labuladong/fucking-algorithm,115331,https://github.com/labuladong/fucking-algorithm,429
32,30-seconds/30-seconds-of-code,110305,https://github.com/30-seconds/30-seconds-of-code,1483
33,golang/go,110149,https://github.com/golang/go,2586
34,facebook/react-native,108913,https://github.com/facebook/react-native,11970
35,electron/electron,106777,https://github.com/electron/electron,18953
36,d3/d3,104976,https://github.com/d3/d3,1114
37,vercel/next.js,104162,https://github.com/vercel/next.js,15019
38,justjavac/free-programming-books-zh_CN,101625,https://github.com/justjavac/free-programming-books-zh_CN,426
39,avelino/awesome-go,99666,https://github.com/avelino/awesome-go,4065
40,axios/axios,99657,https://github.com/axios/axios,1295
41,facebook/create-react-app,99433,https://github.com/facebook/create-react-app,3724
42,kubernetes/kubernetes,97366,https://github.com/kubernetes/kubernetes,73298
43,practical-tutorials/project-based-learning,97188,https://github.com/practical-tutorials/project-based-learning,307
44,trimstray/the-book-of-secret-knowledge,94999,https://github.com/trimstray/the-book-of-secret-knowledge,195
45,nodejs/node,94553,https://github.com/nodejs/node,29647
46,huggingface/transformers,92201,https://github.com/huggingface/transformers,11149
47,mrdoob/three.js,90679,https://github.com/mrdoob/three.js,13842
48,microsoft/TypeScript,90283,https://github.com/microsoft/TypeScript,15786
49,microsoft/PowerToys,89375,https://github.com/microsoft/PowerToys,4334
50,yangshun/tech-interview-handbook,89220,https://github.com/yangshun/tech-interview-handbook,499
51,denoland/deno,88885,https://github.com/denoland/deno,10005
52,goldbergyoni/nodebestpractices,88559,https://github.com/goldbergyoni/nodebestpractices,891
53,microsoft/terminal,88322,https://github.com/microsoft/terminal,3491
54,angular/angular,87412,https://github.com/angular/angular,23472
55,mui/material-ui,85735,https://github.com/mui/material-ui,18560
56,ant-design/ant-design,85360,https://github.com/ant-design/ant-design,13712
57,puppeteer/puppeteer,82645,https://github.com/puppeteer/puppeteer,3948
58,PanJiaChen/vue-element-admin,81743,https://github.com/PanJiaChen/vue-element-admin,472
59,ryanmcdermott/clean-code-javascript,81381,https://github.com/ryanmcdermott/clean-code-javascript,246
60,Genymobile/scrcpy,80854,https://github.com/Genymobile/scrcpy,323
61,iluwatar/java-design-patterns,80840,https://github.com/iluwatar/java-design-patterns,1624
62,rust-lang/rust,80122,https://github.com/rust-lang/rust,61288
63,storybookjs/storybook,77964,https://github.com/storybookjs/storybook,10123
64,animate-css/animate.css,77531,https://github.com/animate-css/animate.css,767
65,nvbn/thefuck,76812,https://github.com/nvbn/thefuck,593
66,tensorflow/models,75597,https://github.com/tensorflow/models,3561
67,gothinkster/realworld,73862,https://github.com/gothinkster/realworld,544
68,laravel/laravel,73114,https://github.com/laravel/laravel,4490
69,MisterBooo/LeetCodeAnimation,72789,https://github.com/MisterBooo/LeetCodeAnimation,74
70,FortAwesome/Font-Awesome,71244,https://github.com/FortAwesome/Font-Awesome,634
71,papers-we-love/papers-we-love,71187,https://github.com/papers-we-love/papers-we-love,497
72,mtdvio/every-programmer-should-know,70259,https://github.com/mtdvio/every-programmer-should-know,141
73,django/django,69804,https://github.com/django/django,16557
74,tonsky/FiraCode,69567,https://github.com/tonsky/FiraCode,176
75,doocs/advanced-java,69521,https://github.com/doocs/advanced-java,114
76,bitcoin/bitcoin,69009,https://github.com/bitcoin/bitcoin,18621
77,ripienaar/free-for-dev,68927,https://github.com/ripienaar/free-for-dev,2735
78,microsoft/Web-Dev-For-Beginners,68615,https://github.com/microsoft/Web-Dev-For-Beginners,704
79,vuejs/awesome-vue,68290,https://github.com/vuejs/awesome-vue,3736
80,opencv/opencv,67962,https://github.com/opencv/opencv,13638
81,gin-gonic/gin,67866,https://github.com/gin-gonic/gin,1369
82,521xueweihan/HelloGitHub,67281,https://github.com/521xueweihan/HelloGitHub,31
83,tailwindlabs/tailwindcss,67074,https://github.com/tailwindlabs/tailwindcss,2160
84,sveltejs/svelte,66902,https://github.com/sveltejs/svelte,3274
85,spring-projects/spring-boot,66572,https://github.com/spring-projects/spring-boot,5603
86,gohugoio/hugo,66465,https://github.com/gohugoio/hugo,4252
87,typicode/json-server,66359,https://github.com/typicode/json-server,268
88,fatedier/frp,66286,https://github.com/fatedier/frp,652
89,nvm-sh/nvm,66182,https://github.com/nvm-sh/nvm,958
90,moby/moby,65675,https://github.com/moby/moby,22845
91,pytorch/pytorch,65142,https://github.com/pytorch/pytorch,65083
92,thedaviddias/Front-End-Checklist,64756,https://github.com/thedaviddias/Front-End-Checklist,292
93,neovim/neovim,64730,https://github.com/neovim/neovim,13112
94,macrozheng/mall,64685,https://github.com/macrozheng/mall,99
95,f/awesome-chatgpt-prompts,64271,https://github.com/f/awesome-chatgpt-prompts,196
96,florinpop17/app-ideas,64055,https://github.com/florinpop17/app-ideas,274
97,iptv-org/iptv,63736,https://github.com/iptv-org/iptv,5792
98,Hack-with-Github/Awesome-Hacking,63602,https://github.com/Hack-with-Github/Awesome-Hacking,86
99,hakimel/reveal.js,63465,https://github.com/hakimel/reveal.js,920
100,elastic/elasticsearch,63324,https://github.com/elastic/elasticsearch,62526
101,webpack/webpack,62923,https://github.com/webpack/webpack,5935
102,netdata/netdata,62552,https://github.com/netdata/netdata,7273
103,pallets/flask,62534,https://github.com/pallets/flask,2357
104,AUTOMATIC1111/stable-diffusion-webui,62471,https://github.com/AUTOMATIC1111/stable-diffusion-webui,1568
105,apple/swift,62304,https://github.com/apple/swift,47252
106,tauri-apps/tauri,62130,https://github.com/tauri-apps/tauri,3245
107,GrowingGit/GitHub-Chinese-Top-Charts,61108,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,9
108,expressjs/express,60540,https://github.com/expressjs/express,1098
109,godotengine/godot,60285,https://github.com/godotengine/godot,32019
110,chartjs/Chart.js,60280,https://github.com/chartjs/Chart.js,3668
111,coder/code-server,59891,https://github.com/coder/code-server,1618
112,resume/resume.github.com,59740,https://github.com/resume/resume.github.com,170
113,kdn251/interviews,59547,https://github.com/kdn251/interviews,84
114,home-assistant/core,59531,https://github.com/home-assistant/core,52533
115,jaywcjlove/awesome-mac,59525,https://github.com/jaywcjlove/awesome-mac,794
116,reduxjs/redux,59452,https://github.com/reduxjs/redux,2400
117,redis/redis,59353,https://github.com/redis/redis,5349
118,atom/atom,59283,https://github.com/atom/atom,5249
119,angular/angular.js,59212,https://github.com/angular/angular.js,7923
120,protocolbuffers/protobuf,58917,https://github.com/protocolbuffers/protobuf,6601
121,adam-p/markdown-here,58549,https://github.com/adam-p/markdown-here,56
122,josephmisiti/awesome-machine-learning,58477,https://github.com/josephmisiti/awesome-machine-learning,835
123,socketio/socket.io,58009,https://github.com/socketio/socket.io,824
124,keras-team/keras,57876,https://github.com/keras-team/keras,6117
125,xingshaocheng/architect-awesome,57874,https://github.com/xingshaocheng/architect-awesome,63
126,jquery/jquery,57350,https://github.com/jquery/jquery,2826
127,ansible/ansible,56979,https://github.com/ansible/ansible,48587
128,h5bp/Front-end-Developer-Interview-Questions,56846,https://github.com/h5bp/Front-end-Developer-Interview-Questions,633
129,tiangolo/fastapi,56533,https://github.com/tiangolo/fastapi,1730
130,mermaid-js/mermaid,56420,https://github.com/mermaid-js/mermaid,1819
131,kelseyhightower/nocode,56391,https://github.com/kelseyhightower/nocode,137
132,shadowsocks/shadowsocks-windows,56286,https://github.com/shadowsocks/shadowsocks-windows,474
133,lodash/lodash,56046,https://github.com/lodash/lodash,1160
134,nestjs/nest,55827,https://github.com/nestjs/nest,6415
135,leonardomso/33-js-concepts,55734,https://github.com/leonardomso/33-js-concepts,213
136,vitejs/vite,55013,https://github.com/vitejs/vite,4230
137,grafana/grafana,54824,https://github.com/grafana/grafana,34364
138,apache/echarts,54776,https://github.com/apache/echarts,1519
139,enaqx/awesome-react,54689,https://github.com/enaqx/awesome-react,1101
140,chrislgarry/Apollo-11,54679,https://github.com/chrislgarry/Apollo-11,422
141,DopplerHQ/awesome-interview-questions,54666,https://github.com/DopplerHQ/awesome-interview-questions,207
142,Developer-Y/cs-video-courses,54444,https://github.com/Developer-Y/cs-video-courses,160
143,gatsbyjs/gatsby,54351,https://github.com/gatsbyjs/gatsby,21396
144,h5bp/html5-boilerplate,54207,https://github.com/h5bp/html5-boilerplate,1569
145,twitter/the-algorithm,53969,https://github.com/twitter/the-algorithm,287
146,anuraghazra/github-readme-stats,53958,https://github.com/anuraghazra/github-readme-stats,1213
147,lydiahallie/javascript-questions,53835,https://github.com/lydiahallie/javascript-questions,470
148,scikit-learn/scikit-learn,53759,https://github.com/scikit-learn/scikit-learn,14713
149,awesomedata/awesome-public-datasets,53711,https://github.com/awesomedata/awesome-public-datasets,276
150,ElemeFE/element,53254,https://github.com/ElemeFE/element,4762
151,strapi/strapi,53054,https://github.com/strapi/strapi,7584
152,Anduin2017/HowToCook,52818,https://github.com/Anduin2017/HowToCook,610
153,rails/rails,52622,https://github.com/rails/rails,30966
154,python/cpython,51851,https://github.com/python/cpython,38511
155,junegunn/fzf,51506,https://github.com/junegunn/fzf,663
156,spring-projects/spring-framework,51430,https://github.com/spring-projects/spring-framework,4020
157,apache/superset,51384,https://github.com/apache/superset,12858
158,TheAlgorithms/Java,51166,https://github.com/TheAlgorithms/Java,3052
159,sdmg15/Best-websites-a-programmer-should-visit,51148,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,754
160,azl397985856/leetcode,50974,https://github.com/azl397985856/leetcode,303
161,Fndroid/clash_for_windows_pkg,50897,https://github.com/Fndroid/clash_for_windows_pkg,13
162,hoppscotch/hoppscotch,50870,https://github.com/hoppscotch/hoppscotch,1810
163,sindresorhus/awesome-nodejs,50647,https://github.com/sindresorhus/awesome-nodejs,1064
164,bradtraversy/design-resources-for-developers,50634,https://github.com/bradtraversy/design-resources-for-developers,1182
165,3b1b/manim,50602,https://github.com/3b1b/manim,772
166,syncthing/syncthing,50526,https://github.com/syncthing/syncthing,3710
167,Semantic-Org/Semantic-UI,50512,https://github.com/Semantic-Org/Semantic-UI,765
168,CompVis/stable-diffusion,50472,https://github.com/CompVis/stable-diffusion,61
169,tesseract-ocr/tesseract,50271,https://github.com/tesseract-ocr/tesseract,1507
170,scutan90/DeepLearning-500-questions,50269,https://github.com/scutan90/DeepLearning-500-questions,334
171,MunGell/awesome-for-beginners,50180,https://github.com/MunGell/awesome-for-beginners,1060
172,necolas/normalize.css,50120,https://github.com/necolas/normalize.css,356
173,remix-run/react-router,50081,https://github.com/remix-run/react-router,2810
174,microsoft/playwright,49553,https://github.com/microsoft/playwright,11427
175,psf/requests,49353,https://github.com/psf/requests,2298
176,ionic-team/ionic-framework,48912,https://github.com/ionic-team/ionic-framework,6170
177,fighting41love/funNLP,48767,https://github.com/fighting41love/funNLP,19
178,supabase/supabase,48206,https://github.com/supabase/supabase,5264
179,google/material-design-icons,47870,https://github.com/google/material-design-icons,150
180,ageitgey/face_recognition,47864,https://github.com/ageitgey/face_recognition,187
181,ventoy/Ventoy,47758,https://github.com/ventoy/Ventoy,360
182,prometheus/prometheus,47572,https://github.com/prometheus/prometheus,6609
183,microsoft/ML-For-Beginners,47524,https://github.com/microsoft/ML-For-Beginners,406
184,moment/moment,47315,https://github.com/moment/moment,1971
185,google/guava,47200,https://github.com/google/guava,1501
186,soimort/you-get,47101,https://github.com/soimort/you-get,924
187,jgthms/bulma,47030,https://github.com/jgthms/bulma,953
188,ReactiveX/RxJava,46914,https://github.com/ReactiveX/RxJava,3767
189,swisskyrepo/PayloadsAllTheThings,46889,https://github.com/swisskyrepo/PayloadsAllTheThings,542
190,obsproject/obs-studio,46798,https://github.com/obsproject/obs-studio,5179
191,scrapy/scrapy,46789,https://github.com/scrapy/scrapy,2792
192,caddyserver/caddy,46737,https://github.com/caddyserver/caddy,1924
193,ocornut/imgui,46668,https://github.com/ocornut/imgui,939
194,localstack/localstack,46653,https://github.com/localstack/localstack,3633
195,prakhar1989/awesome-courses,46591,https://github.com/prakhar1989/awesome-courses,249
196,jekyll/jekyll,46440,https://github.com/jekyll/jekyll,4251
197,NARKOZ/hacker-scripts,46383,https://github.com/NARKOZ/hacker-scripts,111
198,Solido/awesome-flutter,46293,https://github.com/Solido/awesome-flutter,858
199,excalidraw/excalidraw,46201,https://github.com/excalidraw/excalidraw,3632
200,wasabeef/awesome-android-ui,46022,https://github.com/wasabeef/awesome-android-ui,215
201,alacritty/alacritty,46000,https://github.com/alacritty/alacritty,1978
202,danielmiessler/SecLists,45895,https://github.com/danielmiessler/SecLists,611
203,git/git,45894,https://github.com/git/git,1142
204,fffaraz/awesome-cpp,45357,https://github.com/fffaraz/awesome-cpp,700
205,prettier/prettier,45299,https://github.com/prettier/prettier,8297
206,yt-dlp/yt-dlp,44909,https://github.com/yt-dlp/yt-dlp,1718
207,juliangarnier/anime,44894,https://github.com/juliangarnier/anime,136
208,Eugeny/tabby,44823,https://github.com/Eugeny/tabby,3429
209,minimaxir/big-list-of-naughty-strings,44721,https://github.com/minimaxir/big-list-of-naughty-strings,123
210,nuxt/nuxt,44688,https://github.com/nuxt/nuxt,3537
211,binhnguyennus/awesome-scalability,44571,https://github.com/binhnguyennus/awesome-scalability,65
212,serverless/serverless,44532,https://github.com/serverless/serverless,5208
213,JetBrains/kotlin,44358,https://github.com/JetBrains/kotlin,4942
214,deepfakes/faceswap,44354,https://github.com/deepfakes/faceswap,495
215,ziishaned/learn-regex,43904,https://github.com/ziishaned/learn-regex,159
216,square/okhttp,43816,https://github.com/square/okhttp,3804
217,tldr-pages/tldr,43789,https://github.com/tldr-pages/tldr,8848
218,facebook/docusaurus,43670,https://github.com/facebook/docusaurus,5315
219,DefinitelyTyped/DefinitelyTyped,43572,https://github.com/DefinitelyTyped/DefinitelyTyped,54955
220,meteor/meteor,43424,https://github.com/meteor/meteor,3458
221,etcd-io/etcd,43127,https://github.com/etcd-io/etcd,9329
222,cypress-io/cypress,43094,https://github.com/cypress-io/cypress,6438
223,TryGhost/Ghost,42888,https://github.com/TryGhost/Ghost,9903
224,ryanoasis/nerd-fonts,42874,https://github.com/ryanoasis/nerd-fonts,333
225,Textualize/rich,42853,https://github.com/Textualize/rich,912
226,iamkun/dayjs,42744,https://github.com/iamkun/dayjs,803
227,aymericdamien/TensorFlow-Examples,42687,https://github.com/aymericdamien/TensorFlow-Examples,112
228,algorithm-visualizer/algorithm-visualizer,42629,https://github.com/algorithm-visualizer/algorithm-visualizer,223
229,Alvin9999/new-pac,42544,https://github.com/Alvin9999/new-pac,3
230,vsouza/awesome-ios,42526,https://github.com/vsouza/awesome-ios,2648
231,traefik/traefik,42512,https://github.com/traefik/traefik,4412
232,android/architecture-samples,42506,https://github.com/android/architecture-samples,389
233,ColorlibHQ/AdminLTE,42381,https://github.com/ColorlibHQ/AdminLTE,2073
234,parcel-bundler/parcel,42224,https://github.com/parcel-bundler/parcel,2691
235,v2ray/v2ray-core,42147,https://github.com/v2ray/v2ray-core,524
236,babel/babel,42147,https://github.com/babel/babel,6239
237,bregman-arie/devops-exercises,42131,https://github.com/bregman-arie/devops-exercises,276
238,mozilla/pdf.js,42093,https://github.com/mozilla/pdf.js,7304
239,JuliaLang/julia,42033,https://github.com/JuliaLang/julia,25229
240,d2l-ai/d2l-zh,42029,https://github.com/d2l-ai/d2l-zh,1229
241,gogs/gogs,41934,https://github.com/gogs/gogs,2108
242,pi-hole/pi-hole,41875,https://github.com/pi-hole/pi-hole,2227
243,astaxie/build-web-application-with-golang,41861,https://github.com/astaxie/build-web-application-with-golang,880
244,ethereum/go-ethereum,41817,https://github.com/ethereum/go-ethereum,8497
245,facebook/jest,41790,https://github.com/facebook/jest,6567
246,karan/Projects,41757,https://github.com/karan/Projects,65
247,square/retrofit,41389,https://github.com/square/retrofit,1133
248,yarnpkg/yarn,41135,https://github.com/yarnpkg/yarn,2134
249,mastodon/mastodon,41127,https://github.com/mastodon/mastodon,13446
250,2dust/v2rayN,40959,https://github.com/2dust/v2rayN,193
251,k88hudson/git-flight-rules,40943,https://github.com/k88hudson/git-flight-rules,277
252,CorentinJ/Real-Time-Voice-Cloning,40861,https://github.com/CorentinJ/Real-Time-Voice-Cloning,112
253,justjavac/awesome-wechat-weapp,40731,https://github.com/justjavac/awesome-wechat-weapp,301
254,vercel/hyper,40669,https://github.com/vercel/hyper,3333
255,sharkdp/bat,40652,https://github.com/sharkdp/bat,1279
256,Avik-Jain/100-Days-Of-ML-Code,40567,https://github.com/Avik-Jain/100-Days-Of-ML-Code,20
257,oven-sh/bun,40537,https://github.com/oven-sh/bun,901
258,tiimgreen/github-cheat-sheet,40500,https://github.com/tiimgreen/github-cheat-sheet,153
259,rustdesk/rustdesk,40464,https://github.com/rustdesk/rustdesk,1409
260,typescript-cheatsheets/react,40453,https://github.com/typescript-cheatsheets/react,389
261,FiloSottile/mkcert,40365,https://github.com/FiloSottile/mkcert,103
262,x64dbg/x64dbg,40356,https://github.com/x64dbg/x64dbg,746
263,kamranahmedse/design-patterns-for-humans,40307,https://github.com/kamranahmedse/design-patterns-for-humans,69
264,sherlock-project/sherlock,40253,https://github.com/sherlock-project/sherlock,789
265,Dreamacro/clash,40005,https://github.com/Dreamacro/clash,439
266,bailicangdu/vue2-elm,39937,https://github.com/bailicangdu/vue2-elm,48
267,nwjs/nw.js,39560,https://github.com/nwjs/nw.js,811
268,pixijs/pixijs,39521,https://github.com/pixijs/pixijs,3530
269,marktext/marktext,39307,https://github.com/marktext/marktext,1007
270,chinese-poetry/chinese-poetry,39282,https://github.com/chinese-poetry/chinese-poetry,145
271,jgraph/drawio-desktop,39280,https://github.com/jgraph/drawio-desktop,27
272,Alamofire/Alamofire,39194,https://github.com/Alamofire/Alamofire,1015
273,commaai/openpilot,39098,https://github.com/commaai/openpilot,8625
274,ngosang/trackerslist,38993,https://github.com/ngosang/trackerslist,47
275,golang-standards/project-layout,38928,https://github.com/golang-standards/project-layout,78
276,Unitech/pm2,38869,https://github.com/Unitech/pm2,823
277,Dogfalo/materialize,38816,https://github.com/Dogfalo/materialize,1264
278,apache/dubbo,38724,https://github.com/apache/dubbo,5858
279,NationalSecurityAgency/ghidra,38724,https://github.com/NationalSecurityAgency/ghidra,850
280,styled-components/styled-components,38577,https://github.com/styled-components/styled-components,1219
281,iperov/DeepFaceLab,38501,https://github.com/iperov/DeepFaceLab,120
282,minio/minio,38451,https://github.com/minio/minio,9051
